CODE;GROUP_CODE;NAME
3352;Vehicle Rental;3352 American International
3361;Vehicle Rental;3361 Airways Rent-A-Car
3364;Vehicle Rental;3364 Agency Rent-A-Car
3405;Vehicle Rental;3405 Enterprise Rent-A-Car
3441;Vehicle Rental;3441 Advantage Rent-A-Car
3380;Vehicle Rental;3380 Triangle Rent-A-Car
5811;Restaurant;5811 Caterers
5814;Restaurant;5814 Fast Food Res. (Quick P S P
7230;Retail Purchase;7230 Beauty Shops & Barber Shops
7298;Retail Purchase;7298 Health & Beauty Spas
7321;Retail Purchase;7321 Consumer Credit Reporting A
7339;Retail Purchase;7339 Stenographic & Secretarial 
7523;Retail Purchase;7523 Automobile Parking Lots
7538;Retail Purchase;7538 Automotive Service Shops
5944;Retail Purchase;5944 Jewelry Stores - Watches
4457;Retail Purchase;4457 Boat Rentals And Lease
5065;Retail Purchase;5065 Electric Parts/Equipment
5999;Retail Purchase;5999 Miscellaneous & specialty r
7997;Retail Purchase;7997 Membership Clubs
7999;Retail Purchase;7999 Recreation Services (Not El
8049;Retail Purchase;8049 Chiropodists,podiatrists
8244;Retail Purchase;8244 Business & Secretarial Scho
8351;Retail Purchase;8351 Child Day Care Services
8398;Retail Purchase;8398 Charitable Contributions
9401;Retail Purchase;9401 I-Purchasing Pilot
5945;Retail Purchase;5945 Hobby,toy,and Game Shops
5947;Retail Purchase;5947 Gift,card,novelty And Souve
5948;Retail Purchase;5948 Luggage And Leather Goods S
5950;Retail Purchase;5950 Glassware And Crystal Store
5970;Retail Purchase;5970 Artists Supply Stores
5499;Retail Purchase;5499 Miscellaneous Food Stores
5691;Retail Purchase;5691 Men's And Ladies's Clothing
5698;Retail Purchase;5698 Wig & Toupee Shops
5912;Retail Purchase;5912 Drug Stores,pharmacies
5932;Retail Purchase;5932 Antique Shops-Sales, Repair
5943;Retail Purchase;5943 Stationery,office,and Schoo
742;Retail Purchase;0742 Veterinary Services
4119;Retail Purchase;4119 Ambulance Service
5552;Retail Purchase;5552 Electric Vehicle Charging
6025;Retail Purchase;6025 Nat. Banks  (RCL Internal)
7032;Retail Purchase;7032 Sporting And Recreat. Camps
3502;Hotel/Motel (Lodging);3502 Best Western Int'l
3504;Hotel/Motel (Lodging);3504 Hilton Hotels
3515;Hotel/Motel (Lodging);3515 Rodeway Inns Int`l
3519;Hotel/Motel (Lodging);3519 PLM/ETAP Int'l
3520;Hotel/Motel (Lodging);3520 Meridien
3522;Hotel/Motel (Lodging);3522 Tokyo Group
3524;Hotel/Motel (Lodging);3524 Welcom Group Hotels
3525;Hotel/Motel (Lodging);3525 Dunfey Hotels
3528;Hotel/Motel (Lodging);3528 Red Lion Inns
3530;Hotel/Motel (Lodging);3530 Stouffer Corporation
3560;Hotel/Motel (Lodging);3560 ALLADDIN RESORT AND CASINO
3801;Hotel/Motel (Lodging);3801 WILDERNESS HOTEL & RESORT
3733;Hotel/Motel (Lodging);3733 Boca Raton Resort
3738;Hotel/Motel (Lodging);3738 Tropicana Resort And Casino
3676;Hotel/Motel (Lodging);3676 Monte Carlo Hotel And Casin
3708;Hotel/Motel (Lodging);3708 Virgin River Hotel Casino
3774;Hotel/Motel (Lodging);3774 New York-New York Hotel Cas
3821;Hotel/Motel (Lodging);3821 CARIBE ROYALE
3554;Hotel/Motel (Lodging);3554 PINEHURST RESORT
3590;Hotel/Motel (Lodging);3590 Fairmont Hotels Corp.
3595;Hotel/Motel (Lodging);3595 Hospitality Inns
3599;Hotel/Motel (Lodging);3599 Pannoria Hotel
3638;Hotel/Motel (Lodging);3638 Howard Jonhson
3645;Hotel/Motel (Lodging);3645 Queens Moat-hotels
3654;Hotel/Motel (Lodging);3654 Loews Hotels
3673;Hotel/Motel (Lodging);3673 Ibusz Hotels
3677;Hotel/Motel (Lodging);3677 Climat De France Hotels
3684;Hotel/Motel (Lodging);3684 Budget Hosts Inns
3685;Hotel/Motel (Lodging);3685 Budgetel Inns
3689;Hotel/Motel (Lodging);3689 Consort Hotels
3692;Hotel/Motel (Lodging);3692 Doubletree Hotels
3693;Hotel/Motel (Lodging);3693 Drury Inn
3704;Hotel/Motel (Lodging);3704 Royce Hotels
3720;Hotel/Motel (Lodging);3720 Southern Sun Hotels
3571;Hotel/Motel (Lodging);3571 GRAND WAILEA RESORT
3589;Hotel/Motel (Lodging);3589 DORAL GOLF RESORT
7829;Mail/Telephone/Preauth order;7829 Motion Picture/Video Prd/Di
5045;Mail/Telephone/Preauth order;5045 Computers/Peripheral/Softwr
5074;Mail/Telephone/Preauth order;5074 Plumbing/Heating Equipment
5818;Mail/Telephone/Preauth order;5818 Digital Goods - Multy-Category
3044;Transportation;3044 Air Lanka
3060;Transportation;3060 NWA Air
3066;Transportation;3066 Southwest
3084;Transportation;3084 Eva Air
3126;Transportation;3126 Talair
3127;Transportation;3127 Taca Int`l
3164;Transportation;3164 Norontair
3176;Transportation;3176 Metroflight Airlines
3204;Transportation;3204 Freedom Airlines
3219;Transportation;3219 Copa
3233;Transportation;3233 Capitol Air
3234;Transportation;3234 CARIBBEAN AIRLINES
3252;Transportation;3252 ALM Antilean Airlines
4411;Transportation;4411 Cruise Lines
3026;Transportation;3026 Emirates Airlines
3032;Transportation;3032 El Al
3262;Transportation;3262 Reno Air, Inc.
3287;Transportation;3287 Aero Coach Aviation
3005;Transportation;3005 British Airways
3013;Transportation;3013 Alitalia
3131;Transportation;3131 VLM Airlines
3003;Transportation;3003 EUROFLY AIRLINES
3174;Transportation;3174 Jetblue Airways
3059;Transportation;3059 DBA AIRLINES
3156;Transportation;3156 GO FLY Ltd.
3019;Transportation;3019 GERMANWINGS
